93,46,139
93,47,139
93,47,162
93,46,139
93,47,162
93,51,162
93,105,139
93,104,139
93,65,162
93,109,115
93,71,139
93,80,185
93,61,139
93,53,185
93,47,139
93,47,162
93,47,139
93,48,162
93,48,162
93,48,162
93,47,162
93,47,139
93,47,139
93,47,162
93,47,139
93,47,139
93,47,162
93,47,115
93,52,162
93,116,185
93,139,185
93,61,208
93,47,231
93,47,162
93,47,185
161,47,185
161,47,185
161,47,162
147,47,185
147,47,208
147,47,231
134,47,139
134,47,162
134,47,231
134,48,162
134,47,208
134,47,162
134,47,208
134,48,231
134,47,162
120,47,208
120,47,208
120,47,185
120,48,208
120,47,208
120,47,231
120,47,231
120,47,185
120,46,208
107,47,208
107,47,139
107,47,208
107,52,208
107,56,208
107,57,162
107,55,208
107,104,185
107,55,185
107,110,255
107,98,301
107,127,440
107,132,208
107,126,139
107,115,162
107,100,208
107,76,162
107,39,185
107,39,185
107,39,185
107,39,208
107,39,208
107,39,162
107,39,208
107,39,162
107,39,185
107,39,162
107,40,255
107,70,162
107,93,857
107,93,695
107,93,649
107,88,231
107,83,278
107,88,231
107,82,255
107,80,208
107,93,231
107,74,231
107,81,278
107,81,0
107,63,0
107,58,69
107,65,0
107,41,0
107,71,579
107,89,486
107,40,324
120,40,185
120,39,92
120,39,162
120,39,162
120,39,162
120,39,162
120,39,185
120,39,139
120,39,162
120,40,162
120,39,162
120,39,162
120,40,162
120,40,162
120,39,162
120,40,185
120,40,162
120,39,162
120,40,185
120,39,139
120,40,162
120,40,162
120,39,162
120,39,139
120,40,185
120,39,185
120,39,162
120,39,185
120,39,162
120,39,139
120,40,162
120,39,139
